###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:30:00.000

TIME          , nmot_w        , rl_w          , mshfm_w       , uhfm_w        , fr_w          , fra_w         , wdkba         , B_lr          , lamsbg_w      , lamsoni_w     , ti_w          , gangi         , pus_w         , rl            
     8.200,      766.4,     26.801,      2.091,    1.24346,   0.997506,   0.974453,     3.5781,          1,   1.000000,   0.977970,   0.002077,          0,     1012.5,     26.732
     8.250,      775.7,     27.362,      2.079,    1.23425,   0.990462,   0.971622,     3.2505,          1,   1.000000,   1.010095,   0.002029,          0,     1012.8,     27.172
     8.300,      776.8,     27.410,      2.080,    1.17807,   1.000581,   0.974743,     3.4544,          1,   1.000000,   1.006444,   0.001986,          0,     1013.9,     27.311
     8.350,      771.8,     27.611,      2.059,    1.22411,   0.985337,   0.967588,     3.3607,          1,   1.000000,   0.983548,   0.001974,          0,     1014.2,     27.903
     8.400,      778.9,     27.752,      2.170,    1.24421,   0.996934,   0.972420,     3.5585,          1,   1.000000,   1.010177,   0.001935,          0,     1012.5,     28.170
     8.450,      780.7,     28.359,      2.076,    1.22733,   1.001413,   0.972831,     3.4895,          1,   1.000000,   1.000584,   0.002019,          0,     1012.4,     28.080
     8.500,      780.1,     28.231,      2.070,    1.23186,   0.988378,   0.976847,     3.2453,          1,   1.000000,   0.992872,   0.002010,          0,     1013.6,     27.995
     8.550,      775.2,     27.360,      2.180,    1.24979,   1.017323,   0.973173,     3.4938,          1,   1.000000,   0.991303,   0.001959,          0,     1012.8,     28.034
     8.600,      777.1,     27.865,      2.182,    1.24833,   0.999292,   0.973499,     3.4817,          1,   1.000000,   0.978364,   0.002015,          0,     1012.3,     27.569
     8.650,      781.7,     28.013,      2.255,    1.24236,   1.012717,   0.970491,     3.5297,          1,   1.000000,   0.996786,   0.002034,          0,     1012.9,     27.543
     8.700,      774.4,     26.889,      2.097,    1.21088,   1.025661,   0.973759,     3.4827,          1,   1.000000,   0.974788,   0.002028,          0,     1014.2,     27.618
     8.750,      772.9,     27.105,      2.028,    1.22398,   1.006946,   0.971020,     3.6540,          1,   1.000000,   0.968519,   0.002047,          0,     1014.8,     26.916
     8.800,      774.5,     26.316,      1.992,    1.22303,   1.024686,   0.974132,     3.6199,          1,   1.000000,   0.978609,   0.001954,          0,     1011.8,     26.500
     8.850,      767.1,     26.403,      2.026,    1.27412,   1.016850,   0.975182,     3.3947,          1,   1.000000,   0.988043,   0.002155,          0,     1011.7,     26.575
     8.900,      764.3,     25.774,      1.986,    1.19930,   1.013923,   0.969460,     3.4212,          1,   1.000000,   0.991667,   0.001864,          0,     1012.4,     25.709
     8.950,      765.8,     25.627,      2.016,    1.25528,   1.018057,   0.978345,     3.3550,          1,   1.000000,   0.995403,   0.001982,          0,     1011.7,     25.510
     9.000,      755.7,     25.138,      1.871,    1.19672,   1.018866,   0.969387,     3.5762,          1,   1.000000,   0.993491,   0.002113,          0,     1013.1,     24.920
     9.050,      755.1,     24.925,      1.824,    1.21826,   1.012009,   0.974493,     3.2731,          1,   1.000000,   1.011093,   0.002049,          0,     1014.8,     24.621
     9.100,      760.4,     24.133,      1.902,    1.24848,   1.015205,   0.969161,     3.5239,          1,   1.000000,   0.999082,   0.001923,          0,     1012.2,     23.791
     9.150,      750.9,     23.967,      1.670,    1.17032,   1.031188,   0.977504,     3.4909,          1,   1.000000,   0.998034,   0.001991,          0,     1013.4,     23.169
     9.200,      744.3,     23.426,      1.794,    1.17093,   1.008375,   0.970946,     3.2589,          1,   1.000000,   1.000605,   0.001925,          0,     1012.8,     23.392
     9.250,      749.2,     23.100,      1.776,    1.22357,   1.015771,   0.972164,     3.5969,          1,   1.000000,   0.998732,   0.001931,          0,     1013.0,     23.084
     9.300,      740.2,     22.279,      1.672,    1.20305,   1.012370,   0.977123,     3.3073,          1,   1.000000,   1.033055,   0.002044,          0,     1013.1,     22.325
     9.350,      740.6,     22.304,      1.725,    1.21015,   1.010895,   0.975444,     3.4941,          1,   1.000000,   1.005157,   0.001938,          0,     1013.1,     22.479
     9.400,      731.6,     22.476,      1.618,    1.23621,   1.004783,   0.979793,     3.7203,          1,   1.000000,   0.950311,   0.001961,          0,     1013.1,     21.695
     9.450,      743.7,     21.963,      1.667,    1.19106,   0.989374,   0.979284,     3.8514,          1,   1.000000,   0.994197,   0.001942,          0,     1012.2,     21.992
     9.500,      738.6,     21.467,      1.705,    1.19314,   0.982843,   0.978728,     3.5919,          1,   1.000000,   0.995768,   0.002006,          0,     1012.8,     22.273
     9.550,      738.7,     22.084,      1.738,    1.21451,   0.992378,   0.978994,     3.1537,          1,   1.000000,   1.008936,   0.002018,          0,     1011.5,     21.956
     9.600,      741.8,     22.210,      1.725,    1.21099,   0.975765,   0.969480,     3.3480,          1,   1.000000,   0.999831,   0.001965,          0,     1013.2,     22.224
     9.650,      747.7,     22.362,      1.596,    1.20038,   0.984271,   0.974843,     3.3639,          1,   1.000000,   1.014844,   0.001956,          0,     1011.6,     22.258
     9.700,      747.9,     22.543,      1.617,    1.18851,   0.972154,   0.972672,     3.7418,          1,   1.000000,   1.030896,   0.002061,          0,     1013.4,     22.596
     9.750,      747.2,     22.604,      1.652,    1.18824,   0.992293,   0.971436,     3.6317,          1,   1.000000,   1.003014,   0.002039,          0,     1013.5,     22.847
     9.800,      746.7,     23.253,      1.688,    1.16848,   0.986380,   0.970459,     3.2898,          1,   1.000000,   0.974390,   0.002105,          0,     1013.1,     23.000
     9.850,      748.2,     23.413,      1.737,    1.23699,   0.978130,   0.974932,     3.6500,          1,   1.000000,   0.967561,   0.001966,          0,     1013.4,     23.780
     9.900,      748.8,     23.778,      1.833,    1.20453,   0.987558,   0.979765,     4.0127,          1,   1.000000,   1.017549,   0.001906,          0,     1013.3,     24.050
     9.950,      761.1,     24.731,      1.877,    1.25074,   0.989119,   0.972387,     3.6843,          1,   1.000000,   1.001081,   0.002061,          0,     1013.7,     24.405
