###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:35:00.000

TIME          , nmot_w        , rl_w          , rlsol_w       , mshfm_w       , pvdks_w       , plsol_w       , ldtvm         , wped_w        , wdkba         , gangi         , vfil_w        , tmot          , tans          , pus_w         , fr_w          , lamsbg_w      , lamsoni_w     , ti_w          
     6.250,     6012.7,    180.285,    189.538,    138.222,     2044.2,     1913.0,      73.81,   100.0000,    82.0000,          3,    142.698,       88.5,       27.7,     1012.4,   0.999071,   0.820000,   0.799098,   0.010108
     6.300,     6018.0,    180.191,    188.751,    142.050,     2030.9,     1913.0,      70.99,   100.0000,    82.0000,          3,    143.426,       88.5,       27.7,     1012.7,   1.002401,   0.820000,   0.809366,   0.010008
     6.350,     6005.0,    181.067,    187.680,    142.077,     1948.5,     1913.0,      71.01,   100.0000,    82.0000,          3,    143.261,       88.5,       28.3,     1012.8,   0.999451,   0.820000,   0.845412,   0.009547
     6.400,     6015.7,    180.714,    191.985,    140.626,     1904.7,     1913.0,      68.31,   100.0000,    82.0000,          3,    144.550,       88.5,       28.0,     1012.5,   1.000470,   0.820000,   0.808009,   0.009638
     6.450,     5963.0,    177.950,    191.026,    142.861,     2015.0,     1913.0,      68.84,   100.0000,    82.0000,          3,    142.984,       88.5,       28.1,     1012.9,   0.997374,   0.820000,   0.845755,   0.009904
     6.500,     5992.1,    182.229,    187.669,    139.046,     2029.4,     1913.0,      72.15,   100.0000,    82.0000,          3,    142.444,       88.5,       29.0,     1012.0,   0.994452,   0.820000,   0.782257,   0.009877
     6.550,     6032.6,    179.983,    185.923,    142.305,     1988.0,     1913.0,      68.83,   100.0000,    82.0000,          3,    142.359,       88.5,       27.6,     1014.3,   1.005942,   0.820000,   0.833841,   0.009636
     6.600,     6001.0,    181.554,    190.248,    143.599,     2016.1,     1913.0,      70.33,   100.0000,    82.0000,          3,    144.001,       88.5,       28.0,     1013.2,   0.995599,   0.820000,   0.792611,   0.009990
     6.650,     5986.9,    179.763,    188.077,    144.021,     2059.4,     1913.0,      70.69,   100.0000,    82.0000,          3,    142.266,       88.5,       27.3,     1011.2,   0.994740,   0.820000,   0.794056,   0.010169
     6.700,     6033.6,    182.365,    187.947,    137.440,     1928.2,     1913.0,      71.49,   100.0000,    82.0000,          3,    142.321,       88.5,       26.9,     1014.0,   1.006124,   0.820000,   0.804622,   0.009895
     6.750,     5970.9,    179.686,    189.577,    137.937,     2003.3,     1913.0,      71.58,   100.0000,    82.0000,          3,    142.549,       88.5,       27.4,     1013.4,   1.001030,   0.820000,   0.825472,   0.009933
     6.800,     6040.3,    180.510,    191.661,    138.728,     2037.1,     1913.0,      72.84,   100.0000,    82.0000,          3,    141.675,       88.5,       28.2,     1013.2,   1.002529,   0.820000,   0.837192,   0.010110
     6.850,     6034.5,    182.428,    187.857,    139.476,     1979.5,     1913.0,      69.66,   100.0000,    82.0000,          3,    145.062,       88.5,       28.6,     1012.3,   0.989960,   0.820000,   0.831650,   0.010068
     6.900,     5956.6,    180.495,    186.702,    139.757,     1929.2,     1913.0,      75.21,   100.0000,    82.0000,          3,    142.931,       88.5,       28.3,     1011.9,   0.994658,   0.820000,   0.821027,   0.010092
     6.950,     6024.8,    180.759,    188.789,    137.708,     1936.0,     1913.0,      64.78,   100.0000,    82.0000,          3,    142.072,       88.5,       28.5,     1013.5,   0.995216,   0.820000,   0.839231,   0.009673
     7.000,     6013.0,    178.721,    185.205,    136.365,     2004.5,     1913.0,      68.65,   100.0000,    82.0000,          3,    141.871,       88.5,       28.7,     1013.7,   1.000630,   0.820000,   0.824161,   0.009804
     7.050,     5980.8,    182.071,    189.909,    138.865,     1998.5,     1913.0,      69.08,   100.0000,    82.0000,          3,    144.508,       88.5,       28.3,     1012.0,   1.002791,   0.820000,   0.844504,   0.009709
     7.100,     6004.0,    180.938,    186.375,    140.380,     2008.2,     1913.0,      66.95,   100.0000,    82.0000,          3,    143.413,       88.5,       28.2,     1012.6,   1.008263,   0.820000,   0.829961,   0.009996
     7.150,     5972.1,    180.480,    188.715,    137.345,     1940.1,     1913.0,      69.67,   100.0000,    82.0000,          3,    142.137,       88.5,       28.1,     1013.3,   1.002689,   0.820000,   0.822081,   0.009773
     7.200,     5970.0,    181.657,    190.373,    145.069,     1981.2,     1913.0,      70.45,   100.0000,    82.0000,          3,    141.896,       88.5,       28.2,     1012.0,   0.997056,   0.820000,   0.822728,   0.009593
     7.250,     5994.1,    182.227,    191.732,    133.018,     2032.1,     1913.0,      70.96,   100.0000,    82.0000,          3,    140.517,       88.5,       27.6,     1012.5,   0.998075,   0.820000,   0.806925,   0.010156
     7.300,     5989.4,    180.463,    188.755,    141.466,     2012.0,     1913.0,      73.29,   100.0000,    82.0000,          3,    144.485,       88.5,       27.3,     1011.9,   0.993352,   0.820000,   0.832867,   0.009699
     7.350,     6023.1,    181.416,    187.721,    140.718,     2034.5,     1913.0,      71.28,   100.0000,    82.0000,          3,    140.557,       88.5,       27.9,     1012.4,   1.003142,   0.820000,   0.820411,   0.010144
     7.400,     5994.7,    180.902,    191.013,    137.770,     1976.7,     1913.0,      72.81,   100.0000,    82.0000,          3,    142.241,       88.5,       28.1,     1012.1,   0.989962,   0.820000,   0.840310,   0.009858
     7.450,     6016.1,    180.157,    186.651,    140.459,     2022.0,     1913.0,      70.69,   100.0000,    82.0000,          3,    145.262,       88.5,       27.8,     1012.3,   1.004546,   0.820000,   0.833568,   0.010055
