###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:23:17.500

TIME          , nmot_w        , rl_w          , rlsol_w       , mshfm_w       , uhfm_w        , pvdks_w       , plsol_w       , pssol_w       , ldtvm         , fr_w          , fra_w         , lamsbg_w      , lamsoni_w     , ti_w          , wped_w        , wdkba         , B_lr          , gangi         , vfil_w        , tmot          , tans          , pus_w         , rl            , zwist         , prist_w       
     4.500,     5966.1,    177.234,    183.950,    157.524,    3.80542,     1911.9,     1913.0,     1913.0,      68.96,   1.000000,   0.978345,   0.820000,   0.801702,   0.010631,    97.5000,    82.8750,          0,          3,    142.517,       88.5,       27.9,     1013.2,    179.212,       8.61,   0.137362
     4.550,     6030.8,    177.745,    179.153,    161.385,    4.01534,     1928.3,     1913.0,     1913.0,      75.10,   1.000000,   0.982488,   0.820000,   0.815010,   0.010918,    98.2500,    83.5125,          0,          3,    144.144,       88.5,       28.0,     1012.7,    182.495,       8.74,   0.134334
     4.600,     6071.9,    179.235,    183.833,    166.454,    3.94712,     1900.5,     1913.0,     1913.0,      68.52,   1.000000,   0.977940,   0.820000,   0.810833,   0.010395,    99.0000,    84.1500,          0,          3,    144.934,       88.5,       28.0,     1013.5,    181.033,       8.02,   0.134641
     4.650,     6146.1,    181.866,    186.509,    169.505,    4.04026,     1894.4,     1913.0,     1913.0,      71.91,   1.000000,   0.973801,   0.820000,   0.832700,   0.011212,    99.7500,    84.7875,          0,          3,    143.494,       88.5,       28.5,     1012.3,    185.156,       8.27,   0.135885
     4.700,     6086.2,    186.733,    186.881,    166.941,    3.99568,     1922.5,     1913.0,     1913.0,      73.46,   1.000000,   0.976015,   0.820000,   0.824919,   0.010940,   100.0000,    85.0000,          0,          3,    144.160,       88.5,       28.3,     1013.5,    186.470,       8.16,   0.138159
     4.750,     6183.7,    188.912,    189.661,    172.816,    4.04206,     1937.0,     1913.0,     1913.0,      70.17,   1.000000,   0.977444,   0.820000,   0.841710,   0.011059,   100.0000,    85.0000,          0,          3,    146.500,       88.5,       28.1,     1012.6,    188.576,       7.55,   0.138201
     4.800,     6288.6,    183.767,    193.003,    176.452,    4.09919,     1885.5,     1913.0,     1913.0,      70.82,   1.000000,   0.980529,   0.820000,   0.847878,   0.010936,   100.0000,    85.0000,          0,          3,    148.236,       88.5,       28.2,     1013.5,    186.225,       7.68,   0.138989
     4.850,     6254.9,    188.339,    195.134,    184.520,    4.33300,     1887.2,     1913.0,     1913.0,      68.66,   1.000000,   0.979989,   0.820000,   0.800547,   0.011668,   100.0000,    85.0000,          0,          3,    149.033,       88.5,       28.3,     1012.8,    187.462,       6.85,   0.137143
     4.900,     6272.9,    188.781,    191.789,    176.076,    4.06989,     1884.0,     1913.0,     1913.0,      67.09,   1.000000,   0.980588,   0.820000,   0.808079,   0.011453,   100.0000,    85.0000,          0,          3,    151.191,       88.5,       27.2,     1013.0,    189.497,       7.40,   0.136993
     4.950,     6363.5,    192.998,    198.663,    183.826,    4.24318,     1878.6,     1913.0,     1913.0,      67.98,   1.000000,   0.980618,   0.820000,   0.807353,   0.011571,   100.0000,    85.0000,          0,          3,    153.414,       88.5,       27.9,     1011.0,    193.256,       6.65,   0.136970
